step,epoch,train_loss,validation_loss,validation_wer,validation_cer,learning_rate,elapsed_seconds
36,0.2557726465364121,1.6538576185703278,,,,7.894736842105265e-06,173.41262103100053
37,0.26287744227353466,1.6688876450061798,,,,7.81954887218045e-06,175.263475198999
38,0.2699822380106572,1.7274331450462341,,,,7.74436090225564e-06,176.79235324299952
39,0.27708703374777977,1.7931913435459137,,,,7.669172932330828e-06,178.00253310600056
40,0.2841918294849023,1.721634864807129,,,,7.593984962406016e-06,179.49118342700058
41,0.2912966252220249,1.789418339729309,,,,7.518796992481203e-06,181.47393304800062
42,0.2984014209591474,1.7242745161056519,,,,7.4436090225563915e-06,182.60804889599967
43,0.30550621669627,1.819488912820816,,,,7.368421052631579e-06,183.79949468199993
44,0.31261101243339257,1.6083372831344604,,,,7.293233082706768e-06,186.23203071699936
45,0.3197158081705151,1.5317821204662323,,,,7.218045112781955e-06,188.55773605399918
46,0.3268206039076377,1.4213965833187103,,,,7.1428571428571436e-06,190.55898010000055
47,0.3339253996447602,1.2269417345523834,,,,7.067669172932331e-06,192.26791293699898
48,0.3410301953818828,1.7681463658809662,,,,6.992481203007519e-06,194.07459917400047
49,0.3481349911190053,1.4226587116718292,,,,6.917293233082707e-06,196.30117557300036
50,0.3552397868561279,1.2323055565357208,,,,6.842105263157896e-06,197.23454574400057
51,0.3623445825932504,1.7489279210567474,,,,6.766917293233083e-06,199.52089987599902
52,0.369449378330373,1.5051351189613342,,,,6.691729323308271e-06,200.70834149700022
53,0.3765541740674956,1.260241687297821,,,,6.616541353383459e-06,202.43761592999908
54,0.3836589698046181,1.458302229642868,,,,6.541353383458648e-06,203.7700360630006
55,0.3907637655417407,1.4696991443634033,,,,6.466165413533835e-06,204.69771995600058
56,0.3978685612788632,1.4673942625522614,,,,6.390977443609023e-06,206.90880252600073
57,0.4049733570159858,1.5492063164710999,,,,6.31578947368421e-06,208.15430819299945
58,0.41207815275310833,1.339484691619873,,,,6.240601503759399e-06,209.98558679300004
59,0.4191829484902309,1.3809551894664764,,,,6.165413533834587e-06,212.78607918200032
60,0.42628774422735344,1.3107746541500092,,,,6.0902255639097755e-06,214.33434886000032
61,0.433392539964476,1.3233942091464996,,,,6.015037593984962e-06,216.66062377299932
62,0.4404973357015986,1.5475439429283142,,,,5.939849624060151e-06,218.6871101830002
63,0.44760213143872113,1.2545204907655716,,,,5.864661654135339e-06,220.46402041200054
64,0.4547069271758437,1.1614527702331543,,,,5.789473684210527e-06,221.6443108809999
65,0.46181172291296624,1.456244558095932,,,,5.7142857142857145e-06,223.33961464599997
66,0.4689165186500888,1.1030803173780441,,,,5.639097744360903e-06,226.0716597419996
67,0.47602131438721135,1.202339544892311,,,,5.56390977443609e-06,227.75118024400035
68,0.48312611012433393,1.3493611067533493,,,,5.488721804511279e-06,229.47320974899958
69,0.49023090586145646,1.146415650844574,,,,5.413533834586467e-06,230.72976990899951
70,0.49733570159857904,1.2737720012664795,1.4030597082773844,0.8352620830496936,0.3831315176286336,5.338345864661654e-06,232.09122324599957
71,0.5044404973357016,1.1267107427120209,,,,5.263157894736842e-06,344.54549133399996
72,0.5115452930728241,1.2583397179841995,,,,5.187969924812031e-06,346.4589064899992
73,0.5186500888099467,1.1869945526123047,,,,5.112781954887218e-06,348.6718070179995
74,0.5257548845470693,1.3023051023483276,,,,5.0375939849624065e-06,350.97257399299997
75,0.5328596802841918,1.1543672531843185,,,,4.962406015037594e-06,353.16563854500055
76,0.5399644760213144,1.4172736406326294,,,,4.887218045112782e-06,355.27776372600056
77,0.5470692717584369,1.2800438702106476,,,,4.81203007518797e-06,356.38564428000063
78,0.5541740674955595,1.3281291127204895,,,,4.736842105263158e-06,357.8927853869991
79,0.5612788632326821,1.3541609942913055,,,,4.661654135338346e-06,359.0914515679997
80,0.5683836589698046,1.2670336961746216,,,,4.586466165413534e-06,360.80017394400056
81,0.5754884547069272,1.0855147987604141,,,,4.511278195488722e-06,362.02326234499924
82,0.5825932504440497,1.2933714389801025,,,,4.43609022556391e-06,363.18273099699945
83,0.5896980461811723,1.1481397300958633,,,,4.360902255639098e-06,364.1005801850006
84,0.5968028419182948,1.4676317274570465,,,,4.2857142857142855e-06,366.64030043300045
85,0.6039076376554174,1.533537596464157,,,,4.210526315789474e-06,367.88628940499984
86,0.61101243339254,1.263947606086731,,,,4.135338345864662e-06,369.78227730599974
87,0.6181172291296625,1.1630670875310898,,,,4.06015037593985e-06,371.7817405749993
88,0.6252220248667851,1.1757243871688843,,,,3.9849624060150376e-06,372.5906056570002
89,0.6323268206039077,1.0791937410831451,,,,3.909774436090225e-06,374.20435157300017
90,0.6394316163410302,1.4206063449382782,,,,3.834586466165414e-06,375.1412208269994
91,0.6465364120781527,1.1052666008472443,,,,3.7593984962406014e-06,377.4520091529994
92,0.6536412078152753,1.3086732625961304,,,,3.6842105263157896e-06,379.6510336529991
93,0.6607460035523979,1.2740192115306854,,,,3.6090225563909775e-06,380.69356623100066
94,0.6678507992895204,1.279956430196762,,,,3.5338345864661657e-06,382.23165727599917
95,0.6749555950266429,1.1363917887210846,,,,3.4586466165413535e-06,383.0750508790006
96,0.6820603907637656,1.1714986562728882,,,,3.3834586466165413e-06,384.71408490000067
97,0.6891651865008881,1.2588681876659393,,,,3.3082706766917295e-06,386.35687408299964
98,0.6962699822380106,1.1921060979366302,,,,3.2330827067669174e-06,387.98837575499965
99,0.7033747779751333,1.0680218189954758,,,,3.157894736842105e-06,389.6734881609991
100,0.7104795737122558,1.18239326775074,,,,3.0827067669172934e-06,391.77871459699963
101,0.7175843694493783,1.144956812262535,,,,3.007518796992481e-06,394.08941108100043
102,0.7246891651865008,1.1879103481769562,,,,2.9323308270676694e-06,396.1218311520006
103,0.7317939609236235,1.38105046749115,,,,2.8571428571428573e-06,397.76954233799916
104,0.738898756660746,1.0107770264148712,,,,2.781954887218045e-06,398.893417805999
105,0.7460035523978685,1.1105680614709854,1.26728942155838,0.8410483321987747,0.3953550555788991,2.7067669172932333e-06,400.56543401899944
106,0.7531083481349912,1.1963562816381454,,,,2.631578947368421e-06,513.0469765569997
107,0.7602131438721137,1.1989974975585938,,,,2.556390977443609e-06,514.7218681190006
108,0.7673179396092362,1.3853550255298615,,,,2.481203007518797e-06,516.289597551
109,0.7744227353463587,1.2247646152973175,,,,2.406015037593985e-06,517.3430146219998
110,0.7815275310834814,1.1298303753137589,,,,2.330827067669173e-06,518.472470662
111,0.7886323268206039,1.130551278591156,,,,2.255639097744361e-06,520.1336392419998
112,0.7957371225577264,1.1010334491729736,,,,2.180451127819549e-06,521.3767988969994
113,0.8028419182948491,1.0804479718208313,,,,2.105263157894737e-06,523.5812907729996
114,0.8099467140319716,1.3246691823005676,,,,2.030075187969925e-06,524.8032885829998
115,0.8170515097690941,1.0755412429571152,,,,1.9548872180451127e-06,526.992710081
116,0.8241563055062167,1.0644674599170685,,,,1.8796992481203007e-06,528.7203546439996
117,0.8312611012433393,1.145856648683548,,,,1.8045112781954887e-06,529.823476051999
118,0.8383658969804618,1.1110017448663712,,,,1.7293233082706767e-06,531.2873378789991
119,0.8454706927175843,1.239986777305603,,,,1.6541353383458648e-06,532.8656285069992
120,0.8525754884547069,1.0195856392383575,,,,1.5789473684210526e-06,534.3532054629995
121,0.8596802841918295,1.1834272891283035,,,,1.5037593984962406e-06,536.0115975709996
122,0.866785079928952,1.2236528396606445,,,,1.4285714285714286e-06,537.7920705609995
123,0.8738898756660746,1.0953963994979858,,,,1.3533834586466167e-06,539.5784000559997
124,0.8809946714031972,1.25823512673378,,,,1.2781954887218045e-06,541.2581915169994
125,0.8880994671403197,0.961845651268959,,,,1.2030075187969925e-06,542.3644805570002
126,0.8952042628774423,1.2406723201274872,,,,1.1278195488721805e-06,544.063496498
127,0.9023090586145648,1.1740284264087677,,,,1.0526315789473685e-06,545.267117853
128,0.9094138543516874,1.0117655843496323,,,,9.774436090225563e-07,547.0224039179993
129,0.91651865008881,1.0417967587709427,,,,9.022556390977444e-07,549.2092551629994
130,0.9236234458259325,1.022043600678444,,,,8.270676691729324e-07,550.6028901209993
131,0.9307282415630551,1.3261275589466095,,,,7.518796992481203e-07,551.8446948269993
132,0.9378330373001776,1.147416278719902,,,,6.766917293233083e-07,554.2830389789997
133,0.9449378330373002,1.025450736284256,,,,6.015037593984962e-07,556.5760180109992
134,0.9520426287744227,1.145580530166626,,,,5.263157894736843e-07,558.2309308429994
135,0.9591474245115453,1.1283474415540695,,,,4.511278195488722e-07,560.4122446830006
136,0.9662522202486679,1.0189055353403091,,,,3.7593984962406015e-07,562.0755431380003
137,0.9733570159857904,1.1226558983325958,,,,3.007518796992481e-07,563.8794266719997
138,0.9804618117229129,1.2136826068162918,,,,2.255639097744361e-07,565.0763089939992
139,0.9875666074600356,1.0378337353467941,,,,1.5037593984962406e-07,566.468460131
140,0.9946714031971581,1.1125148981809616,1.2298916721343993,0.7821647379169503,0.348294434470377,7.518796992481203e-08,568.1385296320004
141,1.0,1.197137673695882,1.2298429052035014,0.7821647379169503,0.34825623591428245,0.0,673.3927703440004
