step,epoch,train_loss,validation_loss,validation_wer,validation_cer,learning_rate,elapsed_seconds
1,0.007104795737122558,5.144446849822998,,,,2.5e-06,3.211675897000532
2,0.014209591474245116,5.340853452682495,,,,3.7500000000000005e-06,3.9446625870004937
3,0.021314387211367674,4.906507730484009,,,,5e-06,5.066528637998999
4,0.028419182948490232,4.888953447341919,,,,6.25e-06,6.67204840299928
5,0.035523978685612786,4.651407361030579,,,,7.500000000000001e-06,7.443975744999989
6,0.04262877442273535,4.394958198070526,,,,8.750000000000001e-06,9.661042084000655
7,0.0497335701598579,4.097039520740509,,,,1e-05,11.196198016999915
8,0.056838365896980464,3.959037721157074,,,,1e-05,12.810892703000718
9,0.06394316163410302,3.6099193692207336,,,,9.924812030075189e-06,14.39919111800009
10,0.07104795737122557,3.6838268637657166,,,,9.849624060150376e-06,16.492040406999877
11,0.07815275310834814,3.688845157623291,,,,9.774436090225564e-06,18.0936430189995
12,0.0852575488454707,3.005051910877228,,,,9.699248120300752e-06,19.737409498999114
13,0.09236234458259325,3.0726590752601624,,,,9.62406015037594e-06,20.79124330400009
14,0.0994671403197158,3.013637661933899,,,,9.54887218045113e-06,22.111738493998928
15,0.10657193605683836,2.667461633682251,,,,9.473684210526315e-06,23.396186559999478
16,0.11367673179396093,2.7987754344940186,,,,9.398496240601505e-06,24.68229802499991
17,0.12078152753108348,2.6271666884422302,,,,9.323308270676693e-06,25.509529328999633
18,0.12788632326820604,2.391141653060913,,,,9.24812030075188e-06,27.193101454999123
19,0.1349911190053286,2.3394195437431335,,,,9.172932330827068e-06,29.004081921999386
20,0.14209591474245115,2.623237669467926,,,,9.097744360902256e-06,30.566580430000613
21,0.1492007104795737,2.1561930179595947,,,,9.022556390977444e-06,32.36278385900005
22,0.15630550621669628,2.3456459045410156,,,,8.947368421052632e-06,33.2810026169991
23,0.16341030195381884,2.191268563270569,,,,8.87218045112782e-06,34.547677684999144
24,0.1705150976909414,2.1984461545944214,,,,8.796992481203007e-06,36.139118376000624
25,0.17761989342806395,2.1549609303474426,,,,8.721804511278195e-06,37.38485691599999
26,0.1847246891651865,2.1906298100948334,,,,8.646616541353385e-06,38.653881324000395
27,0.19182948490230906,1.6701293587684631,,,,8.571428571428571e-06,40.350187018000724
28,0.1989342806394316,1.8824867010116577,,,,8.49624060150376e-06,41.18829469999946
29,0.20603907637655416,1.8948313891887665,,,,8.421052631578948e-06,42.86201316199913
30,0.21314387211367672,1.7713059484958649,,,,8.345864661654136e-06,44.32326092400035
31,0.2202486678507993,1.8671116828918457,,,,8.270676691729324e-06,45.18077129099947
32,0.22735346358792186,1.8196211457252502,,,,8.195488721804512e-06,46.990802787000575
33,0.2344582593250444,1.931033968925476,,,,8.1203007518797e-06,49.20541682300063
34,0.24156305506216696,2.028538405895233,,,,8.045112781954887e-06,50.546346413999345
35,0.24866785079928952,1.6655252277851105,1.8182055648167927,1.094792375765827,0.528935406241644,7.969924812030075e-06,51.776941439999064
