step,loss,learning_rate,elapsed_seconds
1,4.958413600921631,0.0001,0.4676058049990388
2,4.185432434082031,0.0001,0.5659840789994632
3,3.977123975753784,0.0001,0.6816095279991714
4,2.3343119621276855,0.0001,0.797937326000465
5,1.4489319324493408,0.0001,0.9135278710000421
6,2.1034181118011475,0.0001,1.0262205399994855
7,1.9183512926101685,0.0001,1.2122678910000104
8,1.2159934043884277,0.0001,1.4287901839998085
9,0.8403957486152649,0.0001,1.5704562390001229
10,0.8677672147750854,0.0001,1.69322974699935
11,0.7013197541236877,0.0001,1.8165053510001599
12,0.7229495048522949,0.0001,1.9350479120003001
13,0.4059907793998718,0.0001,2.062869817000319
14,0.35924750566482544,0.0001,2.20492981300049
15,0.28436779975891113,0.0001,2.393431681999573
16,0.3175771236419678,0.0001,2.549673649000397
17,0.16807104647159576,0.0001,2.6800940230004926
18,0.1123514473438263,0.0001,2.800992442998904
19,0.2739768624305725,0.0001,3.0905412020001677
20,0.15836919844150543,0.0001,3.1886703000000125
21,0.11190156638622284,0.0001,3.3028567139990628
22,0.0245396438986063,0.0001,3.442660614999113
23,0.17886854708194733,0.0001,3.5777709020003385
24,0.09532482922077179,0.0001,3.701612622999164
25,0.0357479490339756,0.0001,3.827178355999422
26,0.09815359115600586,0.0001,4.016328567999153
27,0.2177867293357849,0.0001,4.166696590998981
28,0.11247286945581436,0.0001,4.297702035999464
29,0.0187429990619421,0.0001,4.432102898999801
30,0.229862779378891,0.0001,4.57206319999932
31,0.048678841441869736,0.0001,4.699570106000465
32,0.17253533005714417,0.0001,4.824189511000441
33,0.05074239894747734,0.0001,4.9938230749994545
34,0.09417320042848587,0.0001,5.150548487999913
35,0.09155751764774323,0.0001,5.287140767999517
36,0.2297433465719223,0.0001,5.421913460999349
37,0.019511541351675987,0.0001,5.55584505600018
38,0.01790187880396843,0.0001,5.690292428000248
39,0.01515787560492754,0.0001,5.826633974998913
40,0.13364249467849731,0.0001,5.9788900969997485
41,0.017678208649158478,0.0001,6.125004909999916
42,0.03476330637931824,0.0001,6.265465726999537
43,0.009665973484516144,0.0001,6.4008019199991395
44,0.017999090254306793,0.0001,6.533704639999996
45,0.003773228731006384,0.0001,6.6694402789999
46,0.07498737424612045,0.0001,6.800059240998962
47,0.004967529326677322,0.0001,6.96385348900003
48,0.14809802174568176,0.0001,7.115465097000197
49,0.08076844364404678,0.0001,7.254376028000479
50,0.013326535932719707,0.0001,7.394205327998861
51,0.002107293577864766,0.0001,7.5307968229990365
52,0.0661320611834526,0.0001,7.661992122999436
53,0.06682144105434418,0.0001,7.803317997999329
54,0.05392235517501831,0.0001,7.956629320000502
55,0.001757874502800405,0.0001,8.10132842100029
56,0.19313392043113708,0.0001,8.238810106000528
57,0.07262647897005081,0.0001,8.372671312999955
58,0.029409267008304596,0.0001,8.520889438999802
59,0.009963839314877987,0.0001,8.642553124000187
60,0.02841498889029026,0.0001,8.785301185998833
61,0.012136340141296387,0.0001,8.93581280899889
62,0.018519332632422447,0.0001,9.08674166200035
63,0.010210273787379265,0.0001,9.221737809999468
64,0.009877204895019531,0.0001,9.356306740999571
65,0.0030268740374594927,0.0001,9.500244094999289
66,0.004048741888254881,0.0001,9.630088246000014
67,0.1003897413611412,0.0001,9.774829931000568
68,0.02113521285355091,0.0001,9.924123535000035
69,0.0016687898896634579,0.0001,10.06248231599966
70,0.02887333184480667,0.0001,10.199928525998985
71,0.013530579395592213,0.0001,10.34143186700021
72,0.08847955614328384,0.0001,10.481030081000426
73,0.0011821474181488156,0.0001,10.616047059998891
74,0.007159204687923193,0.0001,10.761803883999164
75,0.00844088476151228,0.0001,10.912057039999127
76,0.004809748847037554,0.0001,11.055101464000472
77,0.0009356244117952883,0.0001,11.197817074998966
78,0.0008682646439410746,0.0001,11.335947424000551
79,0.0010109676513820887,0.0001,11.476585524998882
80,0.09258107095956802,0.0001,11.615816678000556
